	1. Distribution Model: Insurance program and secure stakeholders partnership
1-1	Identify the Needs of the End Beneficiary
1-2	 Engage private stakeholders (Reinsurers, aggregators, cooperatives traders, insurance company, third parties, brokers, banks and MFIs, etc) 
1-3	 Engage public stakeholders (Ministry of agriculture, National Coffee board, Agrobanco, etc.) 
1-4	 Define the distribution process (Underwriting and payouts). 
1-5	 Develop premium payment collection mechanism 
1-6	 Define the different distribution channels of the communication campaigns 
1-7	 Run trainning workshops to stakeholders 
1-8	 Catalog aggregation/distribution options (Policyholder and premium payment) 
1-9	 Define distribution partners roles & responsibilities 
1-10	Needs specifications & base data collection
1-11	 Visit farmer collectives / distribution model validation 
	 2. Climatic Model: Develop parametric Insurance solution with operational processes and payouts structures 
2-1	 Geo-locate farmers 
2-2	 Establish phenological calendar and growth phase vulnerabilities (If possible, vereda-level information to triage or gap-fill) 
2-3	 Index prototyping & custom-centric risk solution design (with existing peril - rainfall) 
2-4	 Define design parameters and principles based on farmer needs 
2-5	 New Perils feasibility -  Analize temperature as a peril to include in the design (according to some intial discutions with agregators) 
2-6	 Iteratively design solution (Calibrate backtest with historic losses, define index, socialize soluction) 
2-7	Iteratively price solution (calculate technical premium by grid, and portfolio probable losses & iterate):
2-8	 Adjust the model to ensure it is acceptable in terms of costs for policyholders. 
2-9	 Third Party basis risk assessment 
2-10	 Travel costs 
	 3. Capacity building: Marketing campaings, sustainable agriculture programs, educational workshops (Staff: Ministry, Agrobank, Cooperative) and end users (Farmers) 
3-1	 Design trainning workshop for Norandino, Agrobanco and other aggregators 
3-2	 Run trainning workshop in how Café Seguro works and it's performance to date for farmers 
3-3	 Run trainning workshop in how Café Seguro works and it's performance to date for banks' and MFI´s staff 
3-4	 Share pipeline and goals/objectives per aggregator/region 
3-5	Participate in events related to inssurance, finance and coffee
3-6	 Marketing material: Radio, video, brochures, whatsapp campaigns 
3-7	 Marketing material: Radio, video, brochures, whatsapp campaigns 
3-8	Assessment of social vulnerability dimension
3-9	 Travel costs 
	4. IT requirements in place for the correct operation of the solution
4-1	"Develop and implement the interface between Blue Marble and La Positiva - platform improvements
- Discovery of La Positivas’s data and workflow requirements 
- Adjust IT Platforms to meet the requirement for exchange of farmer data collection (input) and sharing tracking and payouts reporting (output)
- Modifying Blue Marble’s existing data processing and storage, workflows and reporting systems in line with La Positiva’s requirements
- Deployment, testing, fixes and modifications""
- Onboarding and training of La Positiva’s staff
- Ongoing support"
4-2	"Adapt data collection app to La Positiva's, Norandino's and Agrobanco's requirements
- Discovery of aggregator's workflow requirements
- Adjust fields to La Positiva's and MIDAGRI's legal and operational requirements.
- Deployment, testing, fixes and modifications
- Onboarding and training of aggregator’s and other clients staff
- Ongoing support"
4-3	"Adapt CRM for MIDAGRI and other clients.
- Customize CRM to each user profile depending on needs of information
- identifying clients needs and how they want to see their information
- assessing potential ways of use
- Onboarding for the clients to the platform"
4-4	"Trainning and technological support for stakeholders:
- Modelling and Technology workshops for MIDAGRI, Agrobanco, La Positiva and Norandino
- Algorithm Implementation Support
- Platform Training and Accompaniment"
	5. Program roll out: Policies are issued - Product placement
5-1	Draft technical documentation
5-2	Generate grid or farmer-level termsheets
5-3	Secure government subsidies
5-4	Issue policies
5-5	Ensure reinsurance contracts
5-6	Legal and compliance advisory
	6. Climatic Reporting and payout distribution operations
6-1	 Basis risk mitigation (quantitative analysis): track and correlate payouts vs credit delinquency rate vs production coffee 
6-2	 Payouts distribution and Communication strategy for farmers 
6-3	 Guarantee Timely distribution of payouts to generate climate and finance resilience: Monitor timeline between rainfall data is published and payout reaches the beneficiaries 
6-4	 Basis risk mitigation (qualitative analysis):Payouts feedback - Focus groups of farmers 
6-5	 Premium reconciliation in systems 
	Activities not related to specific outputs
	7. ISF Reporting: Monthly, quarterly and annual reports to ISF
7-1	Quarterly, annual and final reporting to ISF / FS
7-2	Financial auditing and monitoring of the project
	8. Premium collection payment mechanism
8-1	 Premium ISF Support 
8-2	 Premium Subsidy requested 
8-3	 Farmer premium Data base Conciliation 
	9. Partnership with technical assitance provider(s)
9-1	 Design and Deliver Climate Resilience and Knowledge Transfer Strategy in Coordination with Sustainable Agriculture Partners (e.g., agroforestry, regenerative agriculture, and other CSA practices) 
9-2	 Implement Café Seguro through Multi-Stakeholder Field Deployment Aligned with Technical Partners’ Strategies 
